"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","participant","rewexpect_group"
"47",8,4,6,8,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,8,7,6,8,8,6,7,7,7,6,47,1
"48",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,4
"49",5,5,7,7,7,5,8,7,7,7,5,4,3,3,3,3,1,3,2,2,5,5,7,7,7,5,8,7,7,7,49,1
"50",5,5,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,3
"51",1,3,8,9,4,1,4,6,5,4,1,3,8,9,4,1,4,6,5,4,7,7,5,4,7,7,4,7,6,7,51,1
"52",2,2,2,5,2,2,3,1,3,2,1,2,1,3,2,1,2,1,2,2,2,2,2,5,2,2,3,1,3,2,52,4
"53",7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,53,1
"54",1,1,5,3,5,3,1,5,5,5,5,1,1,1,2,3,9,8,6,6,5,1,1,1,2,3,9,8,6,6,54,1
"55",4,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,4,5,4,5,5,5,5,5,5,55,1
"56",4,6,3,3,4,4,5,4,4,4,4,6,3,3,4,4,5,4,4,4,4,6,3,3,4,4,5,4,4,4,56,4
"57",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,1
"58",5,1,3,7,9,6,8,6,6,6,5,1,3,7,9,6,8,6,6,6,5,1,3,7,9,6,8,6,6,6,58,1
"59",3,2,4,3,1,3,2,2,3,2,2,3,3,5,1,3,2,3,3,6,3,2,4,3,1,3,2,2,3,2,59,2
"60",8,3,8,8,8,3,7,8,8,5,5,6,7,7,7,7,7,7,7,7,8,3,8,8,8,3,7,8,8,5,60,2
"61",2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,7,2,2,1,1,1,1,1,1,1,1,2,61,2
"62",4,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,62,3
"63",9,1,5,1,7,5,1,5,5,5,3,2,4,7,3,5,4,5,4,4,5,5,4,4,5,5,5,5,5,4,63,1
"64",1,9,9,9,9,9,9,9,9,9,1,3,2,3,4,1,1,1,2,3,1,9,9,9,9,9,9,9,9,9,64,2
"65",8,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,65,2
"66",5,1,4,4,4,5,1,1,1,6,1,4,3,4,4,6,2,4,1,3,1,4,5,4,4,6,3,4,1,3,66,2
"67",2,2,3,1,2,6,2,1,5,3,2,2,3,1,2,6,2,1,5,3,2,2,3,1,2,6,2,1,5,3,67,2
"68",2,1,2,1,1,3,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,68,1
"69",3,5,1,2,5,1,4,1,5,6,3,5,1,2,4,1,4,1,5,6,7,6,6,3,7,2,1,6,8,3,69,1
"70",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,3,2,5,2,9,2,3,1,70,3
"71",4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,71,4
"72",3,2,4,2,2,4,3,3,2,2,4,5,4,5,5,5,5,5,5,5,3,2,4,2,2,4,3,3,2,2,72,2
